Date,Day,Visitors,Rolling_Mean
2015-07-01,1,11,
2015-07-02,2,5,
2015-07-03,3,13,
2015-07-04,4,14,
2015-07-05,5,9,
2015-07-06,6,9,
2015-07-07,7,22,
2015-07-08,8,26,
2015-07-09,9,24,
2015-07-10,10,19,
2015-07-11,11,10,
2015-07-12,12,14,
2015-07-13,13,15,
2015-07-14,14,8,
2015-07-15,15,16,
2015-07-16,16,8,
2015-07-17,17,8,
2015-07-18,18,16,
2015-07-19,19,7,
2015-07-20,20,11,
2015-07-21,21,10,
2015-07-22,22,20,
2015-07-23,23,18,
2015-07-24,24,15,
2015-07-25,25,14,
2015-07-26,26,49,
2015-07-27,27,10,
2015-07-28,28,16,
2015-07-29,29,18,
2015-07-30,30,8,14.766666666666667
2015-07-31,31,5,14.566666666666666
2015-08-01,32,9,14.7
2015-08-02,33,7,14.5
2015-08-03,34,13,14.466666666666667
2015-08-04,35,9,14.466666666666667
2015-08-05,36,7,14.4
2015-08-06,37,4,13.8
2015-08-07,38,11,13.3
2015-08-08,39,10,12.833333333333334
2015-08-09,40,5,12.366666666666667
2015-08-10,41,9,12.333333333333334
2015-08-11,42,9,12.166666666666666
2015-08-12,43,9,11.966666666666667
2015-08-13,44,9,12.0
2015-08-14,45,13,11.9
2015-08-15,46,4,11.766666666666667
2015-08-16,47,15,12.0
2015-08-17,48,25,12.3
2015-08-18,49,9,12.366666666666667
2015-08-19,50,5,12.166666666666666
2015-08-20,51,6,12.033333333333333
2015-08-21,52,20,12.033333333333333
2015-08-22,53,3,11.533333333333333
2015-08-23,54,14,11.5
2015-08-24,55,46,12.566666666666666
2015-08-25,56,5,11.1
2015-08-26,57,5,10.933333333333334
2015-08-27,58,13,10.833333333333334
2015-08-28,59,4,10.366666666666667
2015-08-29,60,9,10.4
2015-08-30,61,10,10.566666666666666
2015-08-31,62,9,10.566666666666666
2015-09-01,63,11,10.7
2015-09-02,64,11,10.633333333333333
2015-09-03,65,11,10.7
2015-09-04,66,9,10.766666666666667
2015-09-05,67,15,11.133333333333333
2015-09-06,68,5,10.933333333333334
2015-09-07,69,10,10.933333333333334
2015-09-08,70,7,11.0
2015-09-09,71,4,10.833333333333334
2015-09-10,72,8,10.8
2015-09-11,73,9,10.8
2015-09-12,74,10,10.833333333333334
2015-09-13,75,6,10.6
2015-09-14,76,13,10.9
2015-09-15,77,16,10.933333333333334
2015-09-16,78,6,10.3
2015-09-17,79,24,10.8
2015-09-18,80,9,10.933333333333334
2015-09-19,81,11,11.1
2015-09-20,82,12,10.833333333333334
2015-09-21,83,8,11.0
2015-09-22,84,14,11.0
2015-09-23,85,6,9.666666666666666
2015-09-24,86,6,9.7
2015-09-25,87,11,9.9
2015-09-26,88,14,9.933333333333334
2015-09-27,89,6,10.0
2015-09-28,90,10,10.033333333333333
2015-09-29,91,20,10.366666666666667
2015-09-30,92,7,10.3
2015-10-01,93,15,10.433333333333334
2015-10-02,94,8,10.333333333333334
2015-10-03,95,15,10.466666666666667
2015-10-04,96,5,10.333333333333334
2015-10-05,97,8,10.1
2015-10-06,98,8,10.2
2015-10-07,99,5,10.033333333333333
2015-10-08,100,11,10.166666666666666
2015-10-09,101,165,15.533333333333333
2015-10-10,102,34,16.4
2015-10-11,103,6,16.3
2015-10-12,104,13,16.4
2015-10-13,105,8,16.466666666666665
2015-10-14,106,9,16.333333333333332
2015-10-15,107,11,16.166666666666668
2015-10-16,108,26,16.833333333333332
2015-10-17,109,18,16.633333333333333
2015-10-18,110,3,16.433333333333334
2015-10-19,111,5,16.233333333333334
2015-10-20,112,12,16.233333333333334
2015-10-21,113,6,16.166666666666668
2015-10-22,114,16,16.233333333333334
2015-10-23,115,19,16.666666666666668
2015-10-24,116,9,16.766666666666666
2015-10-25,117,10,16.733333333333334
2015-10-26,118,11,16.633333333333333
2015-10-27,119,11,16.8
2015-10-28,120,7,16.7
2015-10-29,121,9,16.333333333333332
2015-10-30,122,10,16.433333333333334
2015-10-31,123,24,16.733333333333334
2015-11-01,124,6,16.666666666666668
2015-11-02,125,6,16.366666666666667
2015-11-03,126,8,16.466666666666665
2015-11-04,127,16,16.733333333333334
2015-11-05,128,13,16.9
2015-11-06,129,10,17.066666666666666
2015-11-07,130,10,17.033333333333335
2015-11-08,131,6,11.733333333333333
2015-11-09,132,5,10.766666666666667
2015-11-10,133,20,11.233333333333333
2015-11-11,134,6,11.0
2015-11-12,135,47,12.3
2015-11-13,136,9,12.3
2015-11-14,137,9,12.233333333333333
2015-11-15,138,12,11.766666666666667
2015-11-16,139,11,11.533333333333333
2015-11-17,140,17,12.0
2015-11-18,141,15,12.333333333333334
2015-11-19,142,14,12.4
2015-11-20,143,11,12.566666666666666
2015-11-21,144,97,15.266666666666667
2015-11-22,145,11,15.0
2015-11-23,146,12,15.1
2015-11-24,147,11,15.133333333333333
2015-11-25,148,14,15.233333333333333
2015-11-26,149,15,15.366666666666667
2015-11-27,150,12,15.533333333333333
2015-11-28,151,104,18.7
2015-11-29,152,5,18.533333333333335
2015-11-30,153,22,18.466666666666665
2015-12-01,154,45,19.766666666666666
2015-12-02,155,75,22.066666666666666
2015-12-03,156,29,22.766666666666666
2015-12-04,157,34,23.366666666666667
2015-12-05,158,20,23.6
2015-12-06,159,12,23.666666666666668
2015-12-07,160,25,24.166666666666668
2015-12-08,161,9,24.266666666666666
2015-12-09,162,62,26.166666666666668
2015-12-10,163,20,26.166666666666668
2015-12-11,164,19,26.6
2015-12-12,165,8,25.3
2015-12-13,166,23,25.766666666666666
2015-12-14,167,13,25.9
2015-12-15,168,16,26.033333333333335
2015-12-16,169,34,26.8
2015-12-17,170,36,27.433333333333334
2015-12-18,171,11,27.3
2015-12-19,172,18,27.433333333333334
2015-12-20,173,12,27.466666666666665
2015-12-21,174,24,25.033333333333335
2015-12-22,175,30,25.666666666666668
2015-12-23,176,27,26.166666666666668
