Day,Visitors
1,11
2,5
3,13
4,14
5,9
6,9
7,22
8,26
9,24
10,19
11,10
12,14
13,15
14,8
15,16
16,8
17,8
18,16
19,7
20,11
21,10
22,20
23,18
24,15
25,14
26,49
27,10
28,16
29,18
30,8
31,5
32,9
33,7
34,13
35,9
36,7
37,4
38,11
39,10
40,5
41,9
42,9
43,9
44,9
45,13
46,4
47,15
48,25
49,9
50,5
51,6
52,20
53,3
54,14
55,46
56,5
57,5
58,13
59,4
60,9
61,10
62,9
63,11
64,11
65,11
66,9
67,15
68,5
69,10
70,7
71,4
72,8
73,9
74,10
75,6
76,13
77,16
78,6
79,24
80,9
81,11
82,12
83,8
84,14
85,6
86,6
87,11
88,14
89,6
90,10
91,20
92,7
93,15
94,8
95,15
96,5
97,8
98,8
99,5
100,11
101,165
102,34
103,6
104,13
105,8
106,9
107,11
108,26
109,18
110,3
111,5
112,12
113,6
114,16
115,19
116,9
117,10
118,11
119,11
120,7
121,9
122,10
123,24
124,6
125,6
126,8
127,16
128,13
129,10
130,10
131,6
132,5
133,20
134,6
135,47
136,9
137,9
138,12
139,11
140,17
141,15
142,14
143,11
144,97
145,11
146,12
147,11
148,14
149,15
150,12
151,104
152,5
153,22
154,45
155,75
156,29
157,34
158,20
159,12
160,25
161,9
162,62
163,20
164,19
165,8
166,23
167,13
168,16
169,34
170,36
171,11
172,18
173,12
174,24
175,30
176,27
177,44
178,35
179,53
180,11
181,26
182,13
183,18
184,9
185,16
186,6
187,19
188,20
189,19
190,22
191,30
192,14
193,16
194,22
195,15
196,15
197,26
198,16
199,13
200,27
201,18
202,13
203,32
204,31
205,16
206,38
207,18
208,9
209,14
210,10
211,24
212,8
213,15
214,18
215,10
216,23
217,17
218,11
219,26
220,14
221,8
222,12
223,9
224,11
225,34
226,17
227,29
228,11
229,9
230,14
231,21
232,12
233,11
234,13
235,11
236,13
237,16
238,13
239,19
240,21
241,14
242,11
243,35
244,18
245,42
246,15
247,5
248,21
249,56
250,9
251,20
252,17
253,18
254,8
255,9
256,17
257,9
258,10
259,14
260,17
261,6
262,18
263,13
264,11
265,12
266,11
267,8
268,15
269,11
270,20
271,59
272,11
273,18
274,17
275,12
276,14
277,13
278,9
279,490
280,189
281,102
282,38
283,126
284,71
285,21
286,57
287,79
288,17
289,17
290,23
291,16
292,23
293,18
294,22
295,44
296,6
297,31
298,17
299,25
300,40
301,19
302,15
303,15
304,29
305,18
306,16
307,13
308,20
309,22
310,19
311,11
312,50
313,22
314,39
315,23
316,21
317,23
318,22
319,16
320,19
321,35
322,16
323,12
324,15
325,13
326,14
327,10
328,21
329,20
330,19
331,14
332,12
333,15
334,17
335,16
336,21
337,27
338,13
339,11
340,15
341,14
342,18
343,18
344,10
345,11
346,14
347,18
348,14
349,13
350,17
351,15
352,14
353,234
354,8
355,62
356,26
357,22
358,8
359,22
360,15
361,69
362,11
363,18
364,23
365,12
366,20
367,17
368,15
369,16
370,18
371,21
372,15
373,30
374,115
375,56
376,45
377,17
378,18
379,15
380,18
381,14
382,15
383,15
384,24
385,22
386,18
387,30
388,12
389,13
390,18
391,17
392,31
393,26
394,29
395,12
396,19
397,19
398,57
399,17
400,20
401,49
402,10
403,19
404,26
405,41
406,23
407,30
408,55
409,17
410,24
411,14
412,12
413,49
414,42
415,37
416,13
417,30
418,20
419,33
420,20
421,14
422,40
423,15
424,18
425,26
426,8
427,25
428,21
429,20
430,25
431,19
432,23
433,18
434,19
435,18
436,55
437,16
438,65
439,11
440,11
441,13
442,20
443,21
444,13
445,24
446,20
447,13
448,32
449,16
450,10
451,13
452,44
453,17
454,13
455,72
456,40
457,19
458,14
459,13
460,12
461,14
462,10
463,26
464,13
465,22
